Scheme,age,income,Education,Region
Pradhan mantri awas yojana,18,1800000,no specific education,urban 
Atal pension yojana,18,7200,no specific education,Across india
Pradhan mantri jan dhan yojana,18,7200,no specific education,Across india
Pradhan mantri gramin digital saksharta abhiyan,14,7200,no specific education,rural
National scholarship portal ,18,<6 lakh,Must be enrolled in a recognized educational instituition,Across india
Pradhan mantri fasal bima yojana,18,farmers with land holdings,no specific education,rular
Kisan credit card ,18,farmers(varies based on landholdings),no specific education,rular
Ayushman bharat,18,below the poverty line,no specific education,Across india
Beti bachao beti padhao yojana,0,7200,no specific education,Across india
Stand up india scheme,18,7200,must have basic business knowledge,Across india
Rashtriya krishi vikas yojana,0,farmers cooperatives,no specific education,rural
digital india programmme,0,7200,,across india
Jagananna Vidya Deevena,0,7200,Targeted at students from poor economic backgrounds,Andhra Pradesh.
Kanyashree Prakalpa,13,<1.2 lakh,Girls enrolled in classes VIII to XII in government-recognized schools or pursuing vocational/technical courses.,West Bengal.
Providing Assistance for Girls Advancement in Technical Education,0,<6 lakh,Female students admitted to AICTE-approved technical courses.,Nationwide.
Jawahar Navodaya Vidyalaya,11,7200,Admission based on selection tests; students must be from rural areas.,"All states and union territories, except Tamil Nadu."
National Means-cum-Merit Scholarship,14,3.5 lakh,"Must be studying in government, government-aided, or local body schools.",Nationwide.
Pradhan Mantri Uchchatar Shiksha Protsahan yojana,0,4.5 lakh,Students must be in the top 80th percentile,Nationwide.
Scheme for Residential Education for Students in High Schools in Targeted Areas,15,Applicable to Scheduled Caste students,Meritorious students from Scheduled Castes.,Targeted areas with identified high-quality educational institutions.
Ladli Laxmi Yojana,18,Below Poverty Line families,Benefits linked to continuous enrollment and attendance in school.,Madhya Pradesh; adopted by other states with variations.
Pradhan Mantri Kisan Samman Nidhi,0,"?6,000 per year","All landholding farmers, subject to certain exclusions.",Nationwide.
Pradhan Mantri Fasal Bima Yojana,0,"Financial compensation for crop loss, ensuring income stability.",All farmers growing notified crops.,Nationwide.?
Kisan Credit Card (KCC) Scheme,0,Low-interest loans starting at 4% per annum; credit limit up to ?3 lakh.?,none,Nationwide.
Pradhan Mantri Krishi Sinchayee Yojana,0,Promotion of drip and sprinkler irrigation systems,none,Nationwide.
Soil Health Card Scheme,0,Free soil testing; customized advice on nutrient management.?,none,Nationwide.
Pradhan Mantri Kisan Maan-Dhan Yojana,0,"Fixed pension of ?3,000 per month after the age of 60",none,Nationwide
National Agriculture Market,0,real-time price information.?,none,nationwide
Pradhan Mantri Kisan Urja Suraksha Evam Utthaan Mahabhiyan,0,Subsidies for installing solar pumps,none,nationwide
Pradhan Mantri Annadata Aay Sanrakshan Abhiyan,0,Mechanisms like Price Support Scheme (PSS),none,Nationwide.
Paramparagat Krishi Vikas Yojana,0,training in organic certification and marketing.,none,Nationwide
One Stop Centre (OSC) Scheme (Sakhi Centres),0,7200,none,nationwide
Women Helpline Scheme (181),0,7200,none,nationwide
Mahila Police Volunteer Scheme (MPV),0,7200,none,nationwide
Kanyashree Prakalpa (West Bengal),13,< 1.2 lakh,Must be enrolled in classes 8–12 or equivalent.,West Bengal.
Ladli Laxmi Yojana (Madhya Pradesh & other states),0,Below poverty line,Benefits increase with school promotion.,"Madhya Pradesh, Uttar Pradesh, Delhi"
Himmat App (Delhi Police),18,7200,Basic smartphone literacy.,Delhi NCR.
UJJAWALA Scheme,0,7200,none,Nationwide
Pink Auto/Pink Cab Services,18,Drivers may be from low-income backgrounds,Basic driving literacy.,Select cities
Nirbhaya Fund (Various projects under it),0,Universal.,none,urban 
